Phenotype,MeSH Heading/Name of Substance,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Notes,Heading Mapped to
"MENOPAUSE, NATURAL, AGE AT, QUANTITATIVE TRAIT LOCUS 3",,,,,,,,,,,,,,,,,,,,,,,,
KERATOSIS PALMOPLANTARIS STRIATA II,Keratosis Palmoplantaris Striata II,C16.320.850.475,C17.800.428.435,C17.800.827.475,,,,,,,,,,,,,,,,,,,mutation in desmoplakin,"*Keratoderma, Palmoplantar"
"CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, AND EPIDERMAL NEVI","Congenital Lipomatous Overgrowth, Vascular Malformations, and Epidermal Nevi",C04.557.450.550.400,C05.660,C16.131.621,C14.240.850,C16.131.240.850,C04.557.665.560,,,,,,,,,,,,,,,,,*Lipoma;*Musculoskeletal Abnormalities;*Vascular Malformations;*Nevus
THREE M SYNDROME 2,Three M Syndrome 2,C10.597.613.575,C23.888.592.608.575,C05.116.099.343,C16.320.240,C19.297,,,,,,,,,,,,,,,,,also known as 3M2; associated with mutation in OBSL1,*Muscle Hypotonia;*Dwarfism
GLYCOGEN STORAGE DISEASE XIII,Glycogen Storage Disease XIII,C16.320.565.202.449,C18.452.648.202.449,,,,,,,,,,,,,,,,,,,,mutation in ENO3,*Glycogen Storage Disease
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Io","Congenital Disorder of Glycosylation, Type Io",C16.320.565.202.125,C18.452.648.202.125,,,,,,,,,,,,,,,,,,,,,*Congenital Disorders of Glycosylation
"GROWTH RETARDATION, DEVELOPMENTAL DELAY, COARSE FACIES, AND EARLY DEATH","Growth Retardation, Developmental Delay, Coarse Facies, And Early Death",C23.550.291.812,E01.370.600.230,C23.888.338,C05.116.099.343,C16.320.240,C19.297,C16.131.077,F03.625.421,,,,,,,,,,,,,,also known as GDFD ; associated with mutation in FTO,"*Facies;*Failure to Thrive;*Dwarfism;*Abnormalities, Multiple;*Developmental Disabilities"
RETINITIS PIGMENTOSA 42,Retinitis Pigmentosa 42,C11.270.684,C11.768.585.658.500,C16.320.290.684,,,,,,,,,,,,,,,,,,,aka RP42; associated with mtuation in KLHL7,*Retinitis Pigmentosa
"HYPOMYELINATION, GLOBAL CEREBRAL","Hypomyelination, Global Cerebral",C10.597.606.881,C23.888.592.604.882,F01.700.875,D12.776.157.530.200.249,D12.776.543.585.200.249,D12.776.157.530.450.162,D12.776.543.550.190,D12.776.543.585.450.162,C18.452.660,C10.228.140.163.100.362,C10.228.140.695.625,C10.314.400,C10.574.500.494,C16.320.400.367,C16.320.565.189.362,C18.452.132.100.362,C18.452.648.189.362,,,,,,"*Psychomotor Disorders;Amino Acid Transport Systems, Acidic/*deficiency;Antiporters/*deficiency;*Mitochondrial Diseases;*Hereditary Central Nervous System Demyelinating Diseases"
AICARDI-GOUTIERES SYNDROME 5,Aicardi-Goutieres syndrome 5,C10.500,C16.131.666,C10.114,C20.111.258,,,,,,,,,,,,,,,,,,,*Nervous System Malformations;*Autoimmune Diseases of the Nervous System
"DYSTONIA-PARKINSONISM, ADULT-ONSET","Dystonia-Parkinsonism, Adult-Onset",C10.228.662.300,D08.811.277.352.100.680.750.937.300.249,C10.228.140.079.862,C10.228.662.600,,,,,,,,,,,,,,,,,,mutations in the PLA2G6,*Dystonic Disorders;Group VI Phospholipases A2/*deficiency;*Parkinsonian Disorders
LONG QT SYNDROME 12,Long Qt Syndrome 12,C14.280.067.565,C16.131.240.400.715,C23.550.073.547,,,,,,,,,,,,,,,,,,,,*Long QT Syndrome
MULTIPLE SYNOSTOSES SYNDROME 3,Multiple Synostoses Syndrome 3,C05.116.099.370.894,C05.660.906,C16.131.621.906,,,,,,,,,,,,,,,,,,,aks SYNS3; associated with mutation in FGF9,*Synostosis
PREMATURE OVARIAN FAILURE 7,Premature Ovarian Failure 7,C13.351.500.056.630.750,C19.391.630.750,,,,,,,,,,,,,,,,,,,,aka POF7,*Primary Ovarian Insufficiency
"46,XY GONADAL DYSGENESIS, COMPLETE OR PARTIAL, WITH OR WITHOUT ADRENAL FAILURE","46, XY Disorders of Sex Development",C12.706.316.096,C13.351.875.253.096,C16.131.939.316.096,C19.391.119.096,,,,,,,,,,,,,,,,,,"Congenital conditions in individuals with a male karyotype, in which the development of the gonadal or anatomical sex is atypical.;2011; for MALE PSEUDOHERMAPHRODITISM use DISORDERS OF SEX DEVELOPMENT 2006-2010",
SHORT SLEEPER,,,,,,,,,,,,,,,,,,,,,,,,
OPTIC ATROPHY 7 WITH OR WITHOUT AUDITORY NEUROPATHY,,,,,,,,,,,,,,,,,,,,,,,,
SPERMATOGENIC FAILURE 7,Spermatogenic Failure 7,C12.294.365.700.253,,,,,,,,,,,,,,,,,,,,,associated with mutations in  CATSPER1,*Asthenozoospermia
"EMERY-DREIFUSS MUSCULAR DYSTROPHY 4, AUTOSOMAL DOMINANT",Emery-Dreifuss Muscular Dystrophy 4,C05.651.534.500.350,C10.668.491.175.500.350,C16.320.322.625,C16.320.577.350,,,,,,,,,,,,,,,,,,mutations in  SYNE1; aka EDMD4,"*Muscular Dystrophy, Emery-Dreifuss"
"EMERY-DREIFUSS MUSCULAR DYSTROPHY 5, AUTOSOMAL DOMINANT",,,,,,,,,,,,,,,,,,,,,,,,
ENCEPHALOCRANIOCUTANEOUS LIPOMATOSIS,Encephalocraniocutaneous lipomatosis,C17.800.463,C18.452.584.718,C11,C10.562,C16.131.077.350.712,C16.131.831.350.712,C16.320.850.250.712,C17.800.804.350.712,C17.800.827.250.712,,,,,,,,,,,,,"A neurocutaneous disorder that occurs as isolated cases. It is characterized by ocular anomalies, skin lesions, and central nervous system anomalies. OMIM: 613001",*Lipomatosis;*Eye Diseases;*Neurocutaneous Syndromes
"LYMPHOPROLIFERATIVE SYNDROME, EBV-ASSOCIATED, AUTOSOMAL, 1","Lymphoproliferative Syndrome, Ebv-Associated, Autosomal, 1",C15.604.515,C20.683.515,,,,,,,,,,,,,,,,,,,,,*Lymphoproliferative Disorders
BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 2,Bronchiectasis With Or Without Elevated Sweat Chloride 2,C08.127.384,,,,,,,,,,,,,,,,,,,,,,*Bronchiectasis
GLYCOGEN STORAGE DISEASE IXc,Glycogen Storage Disease IXC,C16.320.565.202.449,C18.452.648.202.449,,,,,,,,,,,,,,,,,,,,mutation in PHKG2,*Glycogen Storage Disease
"PITUITARY HORMONE DEFICIENCY, COMBINED, 1","Pituitary Hormone Deficiency, Combined, 1",C23.550.291.812,E01.370.600.230,D12.776.260.655.750,D12.776.930.710.750,C19.874.482,D06.472.699.631.525,D12.644.548.691.525,C16.131.077,,,,,,,,,,,,,,also known as CPHD1,"*Facies;Transcription Factor Pit-1/*deficiency;*Hypothyroidism;Pituitary Hormones, Anterior/*deficiency;*Abnormalities, Multiple"
NEURODEGENERATION DUE TO CEREBRAL FOLATE TRANSPORT DEFICIENCY,Neurodegeneration Due To Cerebral Folate Transport Deficiency,C10.228.140.744,D12.776.157.530.450.074.500.299.500.500,D12.776.395.550.448.370.500,D12.776.543.484.500.370.500,D12.776.543.550.418.370.500,D12.776.543.585.450.074.500.224.500.500,D12.776.543.750.052.500,D23.050.285.384,,,,,,,,,,,,,,associated with mutaiton in  FOLR1,*Neuroaxonal Dystrophies;Folate Receptor 1/*deficiency
BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 3,Bronchiectasis With Or Without Elevated Sweat Chloride 3,C08.127.384,D12.776.157.530.400.875.200,D12.776.543.550.425.875.200,D12.776.543.585.400.875.200,,,,,,,,,,,,,,,,,,mutation in  SCNN1G,*Bronchiectasis;Epithelial Sodium Channels/*deficiency
METAPHYSEAL ANADYSPLASIA 2,Metaphyseal Anadysplasia 2,C05.660.585,C16.131.621.585,C05.116.099.708,C16.320.728,,,,,,,,,,,,,,,,,,mutation in MMP9,"*Limb Deformities, Congenital;*Osteochondrodysplasias"
"PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT, 5","Progressive External Ophthalmoplegia With Mitochondrial Dna Deletions, Autosomal
 Dominant, 5",C05.651.460.700,C10.292.562.750.250,C10.597.622.447.511,C10.668.491.500.700,C11.590.472.250,C18.452.660.560.700,C23.888.592.636.447.511,C18.452.660,,,,,,,,,,,,,,aka  PEOA5; mutations in RRM2B,"*Ophthalmoplegia, Chronic Progressive External;*Mitochondrial Diseases"
NIJMEGEN BREAKAGE SYNDROME-LIKE DISORDER,Nijmegen Breakage Syndrome-Like Disorder,C23.550.393,C05.660.207.620,C10.500.507.400.500,C16.131.621.207.620,C16.131.666.507.400.500,C18.452.284,,,,,,,,,,,,,,,,,*Growth Disorders;*Microcephaly;*DNA Repair-Deficiency Disorders
"46,XY GONADAL DYSGENESIS, COMPLETE, CBX2-RELATED","46, XY Sex Reversal 5",C12.706.316.096.687,C12.706.316.309.388,C13.351.875.253.096.687,C13.351.875.253.309.388,C16.131.939.316.096.687,C16.131.939.316.309.388,C19.391.119.096.687,C19.391.119.309.388,,,,,,,,,,,,,,mutations in CBX2,"*Gonadal Dysgenesis, 46,XY"
"GLAUCOMA 3, PRIMARY CONGENITAL, D","Glaucoma 3, Primary Congenital, D",C11.525.381,,,,,,,,,,,,,,,,,,,,,mutations in  LTBP2,*Glaucoma
ATRIAL SEPTAL DEFECT 6,Atrial Septal Defect 6,C14.240.400.560.375,C14.280.400.560.375,C16.131.240.400.560.375,,,,,,,,,,,,,,,,,,,TLL1 mutations,"*Heart Septal Defects, Atrial"
"HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE 2","Hyperuricemic Nephropathy, Familial Juvenile 2",C15.378.071,D08.811.277.656.074.500.780,D08.811.277.656.300.048.780,D08.811.277.656.837.750,C23.550.449,C12.777.419.780,C13.351.968.419.780,,,,,,,,,,,,,,,,*Anemia;Renin/*deficiency;*Hyperuricemia;*Renal Insufficiency
CONE DYSTROPHY 4,Cone Dystrophy 4,C11.270.684,C11.768.585.658.500,C16.320.290.684,,,,,,,,,,,,,,,,,,,,*Retinitis Pigmentosa
"TOOTH AGENESIS, SELECTIVE, 6","Tooth Agenesis, Selective, 6",C07.650.800,C07.793.700,C16.131.850.800,,,,,,,,,,,,,,,,,,,mutation in LTBP3,*Tooth Abnormalities
"GLAUCOMA 1, OPEN ANGLE, O","Glaucoma 1, Open Angle, O",C11.525.381,,,,,,,,,,,,,,,,,,,,,,*Glaucoma
"CHOROIDAL DYSTROPHY, CENTRAL AREOLAR 2","Choroidal Dystrophy, Central Areolar 2",C11.941.160,,,,,,,,,,,,,,,,,,,,,mutation in  PRPH2,*Choroid Diseases
"MACROTHROMBOCYTOPENIA, AUTOSOMAL DOMINANT, TUBB1-RELATED","Macrothrombocytopenia, Autosomal Dominant, Tubb1-Related",C15.378.140.855,A11.118.188,A15.145.229.188,,,,,,,,,,,,,,,,,,,,*Thrombocytopenia;Blood Platelets/*pathology
"NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IIB","Neuropathy, Hereditary Sensory And Autonomic, Type IIB",C10.500.310,C10.574.500.496,C10.668.829.800.175,C16.131.666.310,C16.320.400.415,,,,,,,,,,,,,,,,,,*Hereditary Sensory and Autonomic Neuropathies
THROMBOPHILIA DUE TO HISTIDINE-RICH GLYCOPROTEIN DEFICIENCY,Thrombophilia Due To Elevated Histidine-Rich Glycoprotein,C15.378.925,,,,,,,,,,,,,,,,,,,,,,*Thrombophilia
BRUGADA SYNDROME 6,Brugada Syndrome 6,C14.280.067.322,C16.320.100,,,,,,,,,,,,,,,,,,,,,*Brugada Syndrome
BRUGADA SYNDROME 7,Brugada Syndrome 7,C14.280.067.322,C16.320.100,,,,,,,,,,,,,,,,,,,,,*Brugada Syndrome
BRUGADA SYNDROME 8,Brugada Syndrome 8,C14.280.067.322,C16.320.100,,,,,,,,,,,,,,,,,,,,mutation in HCN4,*Brugada Syndrome
"PARKINSONISM-DYSTONIA, INFANTILE","Parkinsonism-Dystonia, Infantile",C10.228.662.300,C10.228.140.079.862.500,C10.228.662.600.400,C10.574.812,,,,,,,,,,,,,,,,,,associated with mutation in SLC6A3,*Dystonic Disorders;*Parkinson Disease
"INFLAMMATORY BOWEL DISEASE 28, AUTOSOMAL RECESSIVE","Inflammatory Bowel Disease 28, Autosomal Recessive",C06.405.205.731,C06.405.469.432,,,,,,,,,,,,,,,,,,,,aka  IBD28,*Inflammatory Bowel Diseases
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 2",,,,,,,,,,,,,,,,,,,,,,,,
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 3",,,,,,,,,,,,,,,,,,,,,,,,
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITHOUT MENTAL RETARDATION), TYPE B, 4",,,,,,,,,,,,,,,,,,,,,,,,
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 5",,,,,,,,,,,,,,,,,,,,,,,,
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 6",,,,,,,,,,,,,,,,,,,,,,,,
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 1",,,,,,,,,,,,,,,,,,,,,,,,
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 2",,,,,,,,,,,,,,,,,,,,,,,,
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 3",,,,,,,,,,,,,,,,,,,,,,,,
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 2",,,,,,,,,,,,,,,,,,,,,,,,
NEPHRONOPHTHISIS-LIKE NEPHROPATHY 1,,,,,,,,,,,,,,,,,,,,,,,,
BETA-UREIDOPROPIONASE DEFICIENCY,Beta-Ureidopropionase Deficiency,C10.228.662,C16.320.565.798,C18.452.648.798,C10.228.140,D08.811.277.087,C16.131.077,,,,,,,,,,,,,,,,mutation in UPB1,"*Movement Disorders;*Purine-Pyrimidine Metabolism, Inborn Errors;*Brain Diseases;Amidohydrolases/*deficiency;*Abnormalities, Multiple"
"SPASTIC PARAPLEGIA 45, AUTOSOMAL RECESSIVE",,,,,,,,,,,,,,,,,,,,,,,,
GABA-TRANSAMINASE DEFICIENCY,Gamma aminobutyric acid transaminase deficiency,D08.811.913.477.700.200,C16.320.565.100,C18.452.648.100,,,,,,,,,,,,,,,,,,,,"4-Aminobutyrate Transaminase/*deficiency;*Amino Acid Metabolism, Inborn Errors"
"CUTIS LAXA WITH SEVERE PULMONARY, GASTROINTESTINAL, AND URINARY ABNORMALITIES","Cutis Laxa With Severe Pulmonary, Gastrointestinal, And Urinary Abnormalities",C06.405,C08,C16.320.850.180,C17.300.230,C17.800.827.180,C05.182,C17.300.182,C12.777,C13.351.968,,,,,,,,,,,,,LTBP4 mutations,*Gastrointestinal Diseases;*Respiratory Tract Diseases;*Cutis Laxa;*Cartilage Diseases;*Urologic Diseases
PURINE NUCLEOSIDE PHOSPHORYLASE DEFICIENCY,Purine Nucleoside Phosphorylase Deficiency,D08.811.913.400.725.800,C16.320.565.798,C18.452.648.798,,,,,,,,,,,,,,,,,,,mutation in purine nucleoside phosphorylase,"Purine-Nucleoside Phosphorylase/*deficiency;*Purine-Pyrimidine Metabolism, Inborn Errors"
POLYMICROGYRIA WITH OPTIC NERVE HYPOPLASIA,Polymicrogyria With Optic Nerve Hypoplasia,C10.500.507,C16.131.666.507,A08.800.800.120.680,,,,,,,,,,,,,,,,,,,TUBA8 mutations,*Malformations of Cortical Development;Optic Nerve/*abnormalities
RETINITIS PIGMENTOSA 50,"Retinitis Pigmentosa, Concentric",C11.270.684,C11.768.585.658.500,C16.320.290.684,,,,,,,,,,,,,,,,,,,BEST1 mutations,*Retinitis Pigmentosa
WEILL-MARCHESANI-LIKE SYNDROME,Weill-Marchesani-Like Syndrome,C11.270,C16.320.290,C05.116.099.343,C16.320.240,C19.297,,,,,,,,,,,,,,,,,mutations in  ADAMTS17,"*Eye Diseases, Hereditary;*Dwarfism"
"SPASTIC PARAPLEGIA 44, AUTOSOMAL RECESSIVE","Spastic Paraplegia 44, Autosomal Recessive",C10.500.300.820,C10.574.500.495.820,C10.668.829.800.300.820,C16.131.666.300.820,C16.320.400.375.820,,,,,,,,,,,,,,,,,"also known as SPG44; associated with mutations of GJC2 gene which encodes gap junction protein, gamma-2","*Spastic Paraplegia, Hereditary"
"DIARRHEA 5, WITH TUFTING ENTEROPATHY, CONGENITAL","Diarrhea 5, With Tufting Enteropathy, Congenital",C23.888.821.214.500,C06.405.469.637,C18.452.603,,,,,,,,,,,,,,,,,,,mutations in  EPCAM,"*Diarrhea, Infantile;*Malabsorption Syndromes"
NOONAN SYNDROME 6,Noonan Syndrome 6,C05.660.207.690,C14.240.400.787,C14.280.400.787,C16.131.240.400.784,C16.131.621.207.690,C17.300.690,,,,,,,,,,,,,,,,,*Noonan Syndrome
FOCAL SEGMENTAL GLOMERULOSCLEROSIS 5,Focal Segmental Glomerulosclerosis 5,C12.777.419.570.363.660,C13.351.968.419.570.363.640,,,,,,,,,,,,,,,,,,,,mutations in  INF2,"*Glomerulosclerosis, Focal Segmental"
TUBEROUS SCLEROSIS 2,Tuberous Sclerosis 2,C04.445.810,C04.651.800,C04.700.632,C10.500.507.400.750,C10.562.850,C10.574.500.865,C16.131.666.507.400.750,C16.320.400.880,C16.320.700.636,,,,,,,,,,,,,mutation in TSC2,*Tuberous Sclerosis
"CORNEAL DYSTROPHY, FUCHS ENDOTHELIAL, 4","Corneal Dystrophy, Fuchs Endothelial, 4",C11.204.236.438,C11.270.162.438,C16.320.290.162.410,,,,,,,,,,,,,,,,,,,mutations in SLC4A11,*Fuchs' Endothelial Dystrophy
"CORNEAL DYSTROPHY, FUCHS ENDOTHELIAL, 6","Corneal Dystrophy, Fuchs Endothelial, 6",C11.204.236.438,C11.270.162.438,C16.320.290.162.410,,,,,,,,,,,,,,,,,,,mutaitons in ZEB1,*Fuchs' Endothelial Dystrophy
"HYPERMANGANESEMIA WITH DYSTONIA, POLYCYTHEMIA, AND CIRRHOSIS",Hypermanganesemia with Dystonia Polycythemia and Cirrhosis,C18.452,,,,,,,,,,,,,,,,,,,,,,*Metabolic Diseases
"BILE ACID MALABSORPTION, PRIMARY","Bile Acid Malabsorption, Primary",C06.405.469.637.887,C18.452.603.887,D04.808.105,C23.888.821.214,,,,,,,,,,,,,,,,,,mutations in SLC10A2,*Steatorrhea;Bile Acids and Salts/*metabolism;*Diarrhea
DIAMOND-BLACKFAN ANEMIA 9,Diamond-Blackfan Anemia 9,C15.378.071.085.080.090,C15.378.071.750.500,C15.378.190.196.080.090,C16.320.077.090,,,,,,,,,,,,,,,,,,mutations in RPS10,"*Anemia, Diamond-Blackfan"
DIAMOND-BLACKFAN ANEMIA 10,Diamond-Blackfan Anemia 10,C15.378.071.085.080.090,C15.378.071.750.500,C15.378.190.196.080.090,C16.320.077.090,,,,,,,,,,,,,,,,,,mutations in RPS26,"*Anemia, Diamond-Blackfan"
EXUDATIVE VITREORETINOPATHY 5,Exudative Vitreoretinopathy 5,A09.371.714.500,C11,C11.768,A07.231.611,,,,,,,,,,,,,,,,,,mutations in TSPAN12,Vitreous Body/*abnormalities;*Eye Diseases;*Retinal Diseases;Retinal Vessels/*abnormalities
MIYOSHI MUSCULAR DYSTROPHY 3,Miyoshi Muscular Dystrophy 3,C05.651.534.500.074,C10.668.491.175.500.074,C16.320.577.074,C10.597.613.612,C23.300.070.500,C23.888.592.608.612,,,,,,,,,,,,,,,,mutation in ANO5,*Distal Myopathies;*Muscular Atrophy
"CHONDRODYSPLASIA, MEGARBANE-DAGHER-MELKI TYPE","Chondrodysplasia, Megarbane-Dagher-Melki Type",F03.625.421,C23.550.291.812,E01.370.600.230,C05.116.099.343,C16.320.240,C19.297,C16.131.077,C05.116.099.708,C16.320.728,,,,,,,,,,,,,,"Developmental Disabilities;*Facies;*Dwarfism;*Abnormalities, Multiple;*Osteochondrodysplasias"
RHABDOID TUMOR PREDISPOSITION SYNDROME 2,Rhabdoid Tumor Predisposition Syndrome 2,C04.557.435.710,,,,,,,,,,,,,,,,,,,,,mutations in  SMARCA4,*Rhabdoid Tumor
PLASMINOGEN ACTIVATOR INHIBITOR-1 DEFICIENCY,Plasminogen Activator Inhibitor-1 Deficiency,C15.378.463,D12.644.861.695.500,D12.776.124.125.640,D12.776.872.695.500,D23.119.832.500,,,,,,,,,,,,,,,,,,*Hemorrhagic Disorders;Plasminogen Activator Inhibitor 1/*deficiency
SPONDYLO-MEGAEPIPHYSEAL-METAPHYSEAL DYSPLASIA,Spondylo-Megaepiphyseal-Metaphyseal Dysplasia,C05.116.099.708,C16.320.728,,,,,,,,,,,,,,,,,,,,mutations in NKX3-2,*Osteochondrodysplasias
LEBER CONGENITAL AMAUROSIS 14,Leber Congenital Amaurosis 14,C11.270.684,C11.768.585.658.500,C16.320.290.684,C11.270.516,C11.768.364,,,,,,,,,,,,,,,,,,*Retinitis Pigmentosa;*Leber Congenital Amaurosis
"MONONEUROPATHY OF THE MEDIAN NERVE, MILD",,,,,,,,,,,,,,,,,,,,,,,,
"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10",,,,,,,,,,,,,,,,,,,,,,,,
"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11",,,,,,,,,,,,,,,,,,,,,,,,
"NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE IIC",,,,,,,,,,,,,,,,,,,,,,,,
FANCONI RENOTUBULAR SYNDROME 2,,,,,,,,,,,,,,,,,,,,,,,,
WARSAW BREAKAGE SYNDROME,,,,,,,,,,,,,,,,,,,,,,,,
"BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 3",,,,,,,,,,,,,,,,,,,,,,,,
CHROMOSOME 15q24 DELETION SYNDROME,,,,,,,,,,,,,,,,,,,,,,,,
OGUCHI DISEASE 2,,,,,,,,,,,,,,,,,,,,,,,,
RETINITIS PIGMENTOSA 54,,,,,,,,,,,,,,,,,,,,,,,,
AMYOTROPHIC LATERAL SCLEROSIS 12,,,,,,,,,,,,,,,,,,,,,,,,
FRONTONASAL DYSPLASIA 2,,,,,,,,,,,,,,,,,,,,,,,,
FRONTONASAL DYSPLASIA 3,,,,,,,,,,,,,,,,,,,,,,,,
RETINITIS PIGMENTOSA 51,,,,,,,,,,,,,,,,,,,,,,,,
REYNOLDS SYNDROME,,,,,,,,,,,,,,,,,,,,,,,,
"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 5",,,,,,,,,,,,,,,,,,,,,,,,
LONG QT SYNDROME 13,,,,,,,,,,,,,,,,,,,,,,,,
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIj",,,,,,,,,,,,,,,,,,,,,,,,
ALPHA-1-ANTITRYPSIN DEFICIENCY,,,,,,,,,,,,,,,,,,,,,,,,
"IMMUNODEFICIENCY, COMMON VARIABLE, 3",,,,,,,,,,,,,,,,,,,,,,,,
"IMMUNODEFICIENCY, COMMON VARIABLE, 4",,,,,,,,,,,,,,,,,,,,,,,,
"IMMUNODEFICIENCY, COMMON VARIABLE, 5",,,,,,,,,,,,,,,,,,,,,,,,
"IMMUNODEFICIENCY, COMMON VARIABLE, 6",,,,,,,,,,,,,,,,,,,,,,,,
"AGAMMAGLOBULINEMIA 2, AUTOSOMAL RECESSIVE",,,,,,,,,,,,,,,,,,,,,,,,
"AGAMMAGLOBULINEMIA 3, AUTOSOMAL RECESSIVE",,,,,,,,,,,,,,,,,,,,,,,,
"AGAMMAGLOBULINEMIA 4, AUTOSOMAL RECESSIVE",,,,,,,,,,,,,,,,,,,,,,,,
"AGAMMAGLOBULINEMIA 5, AUTOSOMAL DOMINANT",,,,,,,,,,,,,,,,,,,,,,,,
GLYCOGEN STORAGE DISEASE XV,,,,,,,,,,,,,,,,,,,,,,,,
SODIUM SERUM LEVEL QUANTITATIVE TRAIT LOCUS 1,,,,,,,,,,,,,,,,,,,,,,,,
AROMATASE DEFICIENCY,Aromatase deficiency,C16.320.565,C18.452.648,D08.244.453.915.099,D08.811.682.690.708.170.915.099,D12.776.422.220.453.915.099,C12.706.316.064,C13.351.875.253.064,C16.131.939.316.064,C19.391.119.064,C12.294.365.700,C17.800.090.875,,,,,,,,,,,"A rare autosomal recessive disorder in which individuals cannot synthesize endogenous ESTROGENS. In utero, this results in VIRILIZATION of both the fetus and mother, since the PLACENTA converts the precursor, DEHYDROEPIANDROSTERONE SULFATE, to TESTOSTERONE. Affected mothers exhibit HISUTISM and ACNE, which resolve following delivery. Affected female infants exhibit PSEUDOHERMAPHRODITISM at birth followed by cystic ovaries, delays in sexual development, and hirsutism at adolescence. Males may be asymptomatic at birth but can later exhibit tall stature, bone growth abnormalities and OBESITY, infertility and gynecomastia. Mutations in the CYP19A1 gene have been identified. OMIM: 613546","*Metabolism, Inborn Errors;Aromatase/*deficiency;*46, XX Disorders of Sex Development;*Infertility, Male;*Gynecomastia"
NEPHRONOPHTHISIS 11,,,,,,,,,,,,,,,,,,,,,,,,
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 7,,,,,,,,,,,,,,,,,,,,,,,,
NOONAN SYNDROME-LIKE DISORDER WITH OR WITHOUT JUVENILE MYELOMONOCYTIC LEUKEMIA,,,,,,,,,,,,,,,,,,,,,,,,
ECTODERMAL DYSPLASIA-SYNDACTYLY SYNDROME 1,,,,,,,,,,,,,,,,,,,,,,,,
RETINITIS PIGMENTOSA 55,,,,,,,,,,,,,,,,,,,,,,,,
RETINITIS PIGMENTOSA 56,,,,,,,,,,,,,,,,,,,,,,,,
RETINITIS PIGMENTOSA 57,,,,,,,,,,,,,,,,,,,,,,,,
OCCULT MACULAR DYSTROPHY,,,,,,,,,,,,,,,,,,,,,,,,
CRANIOECTODERMAL DYSPLASIA 2,,,,,,,,,,,,,,,,,,,,,,,,
CHOANAL ATRESIA AND LYMPHEDEMA,,,,,,,,,,,,,,,,,,,,,,,,
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIi",,,,,,,,,,,,,,,,,,,,,,,,
SENIOR-LOKEN SYNDROME 7,,,,,,,,,,,,,,,,,,,,,,,,
RETINITIS PIGMENTOSA 58,,,,,,,,,,,,,,,,,,,,,,,,
"FACTOR V AND FACTOR VIII, COMBINED DEFICIENCY OF, 2",,,,,,,,,,,,,,,,,,,,,,,,
COCOON SYNDROME,,,,,,,,,,,,,,,,,,,,,,,,
"NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IC",,,,,,,,,,,,,,,,,,,,,,,,
METHYLMALONIC ACIDURIA DUE TO TRANSCOBALAMIN RECEPTOR DEFECT,,,,,,,,,,,,,,,,,,,,,,,,
"SPASTIC PARAPLEGIA 48, AUTOSOMAL RECESSIVE",,,,,,,,,,,,,,,,,,,,,,,,
C1q DEFICIENCY,,,,,,,,,,,,,,,,,,,,,,,,
D-2-HYDROXYGLUTARIC ACIDURIA 2,,,,,,,,,,,,,,,,,,,,,,,,
